what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1429217138305
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1429217138305
os,sysinfo,,,"win32",1429217138305
arch,sysinfo,,,"x86_64",1429217138305
ws,sysinfo,,,"win32",1429217138305
locale,sysinfo,,,"en_US",1429217138305
processors,sysinfo,,,"4",1429217138305
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1429217138305
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1429217138305
java.specification.name,sysinfo,,,"Java Platform API Specification",1429217138305
java.specification.vendor,sysinfo,,,"Oracle Corporation",1429217138305
java.specification.version,sysinfo,,,"1.7",1429217138305
java.vendor,sysinfo,,,"Oracle Corporation",1429217138305
java.version,sysinfo,,,"1.7.0_67",1429217138305
java.vm.info,sysinfo,,,"mixed mode",1429217138305
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1429217138305
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1429217138305
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1429217138305
java.vm.specification.version,sysinfo,,,"1.7",1429217138305
java.vm.vendor,sysinfo,,,"Oracle Corporation",1429217138305
java.vm.version,sysinfo,,,"24.65-b04",1429217138305
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1429217139241
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1429217140301
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1429217143624
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1429217143702
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1429217147850
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1429217147897
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1429217149457
